origin_store_name,origin_loccode,Origin Lat Long,destination_store_name,destination_loccode,DH Lat Long,GH_Distance_km,GH_Travel_Time_mins
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Belathur,BLR189S,"12.9996667,77.7464722",54.1554594,67.49852083
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-JP Nagar Network-2,BLR108S,"12.887526,77.586572",52.64426055,54.6133125
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-JP Nagar New,BLR265S,"12.8942, 77.5845",44.81089725,55.01747917
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Kumaraswamy Layout,BLR160S,"12.89481283,77.56436304",50.50437735,51.015625
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Sattava East,BLR137S,"13.02716623,77.74726407",54.40731765,66.5624375
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Seegehalli,BLR238S,"13.019792,77.724615",51.3934701,62.78510417
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Anjanapura,BLR147S,"12.8603494806,77.5417184061",48.18617685,49.84245833
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Bellandur-3,BLR090S,"12.9382809699,77.6954676998",50.1294003,64.52033333
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Narayana reddy Layout,BLR213S,"12.939045,77.62645",42.15231405,51.81510417
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-TMC Layout,BLR256S,"12.91025,77.58977",43.2216414,51.96941667
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Carmelaram,BLR219S,"12.908522,77.71151",54.4535775,69.6066875
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Choodasandra,BLR121S,"12.8821174,77.6733285",64.53051045,61.16627083
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Junnasandra,BLR223S,"12.90252,77.68669",52.00580175,66.59802083
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Kudlu,BLR126S,"12.8906552,77.6456667",64.79523645,59.99233333
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Silver County,BLR215S,"12.89366814,77.66299978",65.14637745,61.781
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Banjara Layout,BLR150S,"13.03608037,77.66570773",41.24196615,53.2296875
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Kalyan Nagar Network,BLR059S,"13.01482,77.62778",38.6615964,46.14295833
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Kasturinagar,BLR177S,"13.0047881,77.6629972",42.72009945,51.99741667
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Ramamurthy Nagar Network,BLR071S,"13.01813845,77.6597251",40.92980325,52.624875
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-RAMAMURTHY NAGAR NEW,BLR075S,"13.0336210723245,77.6859373693682",43.8235518,57.00647917
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Abbigere,BLR151S,"13.074063,77.519827",17.4756414,27.23627083
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-BHADRAPPA LAYOUT NETWORK,BLR028S,"13.05902074,77.58133229",31.9738461,38.79554167
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Budigere Cross,BLR027S,"13.063784,77.741966",50.27238405,66.46197917
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Dooravani Nagar,BLR227S,"13.01020348,77.66771313",43.47494865,52.822
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-TC Palaya,BLR220S,"13.0227934928,77.6880222145",45.9410343,56.15510417
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Vidyaranyapura,BLR130S,"13.0695733,77.5589887",25.8696732,35.72722917
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-BANNERGHATTA,BLR056S,"12.87747,77.60264",54.80957475,53.23897917
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-HEBBAL NEW,BLR033S,"13.0324086,77.61231342",36.7506699,45.14522917
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-JP Nagar Network,BLR013S,"12.9132264799805,77.5730063365505",41.9342301,50.11689583
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Malagala,BLR138S,"12.97812065,77.51643345",31.67724,36.9053125
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Nehru Nagar,BLR155S,"13.09133919,77.60125138",31.8349941,40.1071875
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Yelahanka Network,BLR120S,"13.13749897,77.56327961",25.0636092,33.13045833
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-HeadOffice-Cafe,BLR259S,"12.9170156,77.6717792",49.3572744,61.45589583
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Kannika Nagar,BLR116S,"12.79803706,77.66311187",67.4032653,68.78304167
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-RAGHAVENDRA LAYOUT,BLR078S,"12.88438622,77.54084471",47.6432124,47.20910417
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-RAGHAVENDRA LAYOUT NETWORK,BLR039S,"12.8845944,77.55881835",48.67618455,48.6471875
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-RAGHAVENDRA LAYOUT NETWORK 2,BLR106S,"12.8666929,77.5357013",45.02994405,44.33058333
